Timestamp;w_time;w_yaw
0;7789;3.840708E+003
1092;7790;3.838924E+003
2092;7791;3.837261E+003
3090;7792;3.835722E+003
4089;7793;3.834189E+003
5084;7794;3.832782E+003
6087;7795;3.831541E+003
7092;7796;3.830398E+003
8092;7797;3.829297E+003
9088;7798;3.828272E+003
10087;7799;3.827285E+003
11092;7800;3.826445E+003
12092;7801;3.825670E+003
13088;7802;3.825186E+003
14103;7803;3.825455E+003
15091;7804;3.825645E+003
16085;7805;3.825912E+003
17090;7806;3.826001E+003
18089;7807;3.825982E+003
19085;7808;3.825973E+003
20085;7809;3.825764E+003
21090;7810;3.825500E+003
22090;7811;3.825279E+003
23086;7812;3.824954E+003
24233;7813;3.824589E+003
25089;7814;3.824372E+003
26091;7815;3.824278E+003
27087;7816;3.824262E+003
28087;7817;3.824564E+003
29092;7818;3.824921E+003
30092;7819;3.825479E+003
31088;7820;3.826123E+003
32087;7821;3.826887E+003
33092;7822;3.827749E+003
34092;7823;3.828789E+003
35151;7824;3.829967E+003
36089;7825;3.831283E+003
37089;7826;3.832756E+003
38086;7827;3.834325E+003
39087;7828;3.836029E+003
40092;7829;3.837909E+003
41092;7830;3.839773E+003
42089;7831;3.841830E+003
43090;7832;3.843906E+003
44086;7833;3.846237E+003
45087;7834;3.848678E+003
46123;7835;3.851125E+003
47091;7836;3.853785E+003
48092;7837;3.856412E+003
49089;7838;3.859234E+003
50089;7839;3.862025E+003
51086;7840;3.864939E+003
52086;7841;3.868103E+003
53092;7842;3.871300E+003
54093;7843;3.874556E+003
55090;7844;3.877897E+003
56093;7845;3.881407E+003
57125;7846;3.884973E+003
58086;7847;3.888627E+003
59087;7848;3.892362E+003
60092;7849;3.896057E+003
61092;7850;3.899893E+003
62090;7851;3.903868E+003
63090;7852;3.907865E+003
64087;7853;3.911972E+003
65088;7854;3.915980E+003
66087;7855;3.920042E+003
67088;7856;3.924082E+003
68120;7857;3.928094E+003
69084;7858;3.932196E+003
70084;7859;3.936318E+003
71089;7860;3.940440E+003
72089;7861;3.944569E+003
73085;7862;3.948702E+003
74084;7863;3.952848E+003
