Timestamp;w_time;w_yaw
198090;7211;4.134532E+003
199089;7212;4.134558E+003
200103;7213;4.134606E+003
201085;7214;4.134600E+003
202090;7215;4.134504E+003
203090;7216;4.134469E+003
204086;7217;4.134475E+003
205086;7218;4.134466E+003
206092;7219;4.134480E+003
207092;7220;4.134507E+003
208089;7221;4.134513E+003
209089;7222;4.134545E+003
210089;7223;4.134521E+003
211106;7224;4.134396E+003
212089;7225;4.134394E+003
213085;7226;4.134425E+003
214086;7227;4.134392E+003
215092;7228;4.134344E+003
216092;7229;4.134368E+003
217089;7230;4.134420E+003
218089;7231;4.134441E+003
219086;7232;4.134418E+003
220089;7233;4.134379E+003
221086;7234;4.134380E+003
222103;7235;4.134318E+003
223086;7236;4.134314E+003
224092;7237;4.134365E+003
225092;7238;4.134357E+003
226089;7239;4.134354E+003
227089;7240;4.134339E+003
228086;7241;4.134387E+003
229087;7242;4.134512E+003
230087;7243;4.134479E+003
231087;7244;4.134479E+003
232093;7245;4.134497E+003
233104;7246;4.134485E+003
234087;7247;4.134456E+003
235093;7248;4.134399E+003
236092;7249;4.134350E+003
237088;7250;4.134322E+003
238087;7251;4.134301E+003
239092;7252;4.134318E+003
240086;7253;4.134277E+003
241091;7254;4.134292E+003
242090;7255;4.134366E+003
243086;7256;4.134425E+003
244104;7257;4.134448E+003
245086;7258;4.134427E+003
246092;7259;4.134458E+003
247091;7260;4.134421E+003
248087;7261;4.134431E+003
249087;7262;4.134479E+003
250086;7263;4.134459E+003
251086;7264;4.134447E+003
252091;7265;4.134377E+003
253090;7266;4.134416E+003
254086;7267;4.134458E+003
255101;7268;4.134458E+003
256092;7269;4.134446E+003
257088;7270;4.134438E+003
258088;7271;4.134417E+003
259093;7272;4.134332E+003
260086;7273;4.134322E+003
261091;7274;4.134340E+003
262091;7275;4.134306E+003
263087;7276;4.134297E+003
264087;7277;4.134342E+003
265116;7278;4.134291E+003
266105;7279;4.134271E+003
267087;7280;4.134266E+003
268092;7281;4.134156E+003
269092;7282;4.134051E+003
270091;7283;4.134059E+003
271091;7284;4.134096E+003
272088;7285;4.134133E+003
273088;7286;4.134089E+003
274085;7287;4.134100E+003
275086;7288;4.134074E+003
276116;7289;4.134108E+003
277103;7290;4.134066E+003
278087;7291;4.134159E+003
279092;7292;4.134227E+003
280086;7293;4.134196E+003
281092;7294;4.134171E+003
282092;7295;4.134114E+003
283089;7296;4.134144E+003
284089;7297;4.134182E+003
285086;7298;4.134239E+003
286234;7299;4.134254E+003
287137;7300;4.134259E+003
288092;7301;4.134304E+003
289084;7302;4.134383E+003
290084;7303;4.134322E+003
291084;7304;4.134264E+003
292090;7305;4.134305E+003
293090;7306;4.134347E+003
294087;7307;4.134329E+003
295087;7308;4.134297E+003
296093;7309;4.134305E+003
297084;7310;4.134395E+003
298140;7311;4.134453E+003
299091;7312;4.134424E+003
300086;7313;4.134347E+003
301091;7314;4.134413E+003
